Food Name,class_name,subclass_name,nova,needs_review,reviewer_note
Kaputei Pizza Sauce Regular,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,pizza sauce -> pasta sauce subclass
Kaputei Roasted Pepper Pesto,COOKING SAUCES,PESTO,Ultra-processed foods,false,new subclass: PESTO
Kaputei Rocket Pesto,COOKING SAUCES,PESTO,Ultra-processed foods,false,new subclass: PESTO
Kaputei Smokey Barbecue Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,new subclass: BBQ SAUCE
Kaputei Spaghetti Bolognaise Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Spaghetti Bolognese Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Spaghetti Sauce,COOKING SAUCES,PASTA SAUCE,Ultra-processed foods,false,new subclass: PASTA SAUCE
Kaputei Sweet And Sticky Barbecue Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,new subclass: BBQ SAUCE
Kaputei Sweet And Sticky Barbeque Sauce,TABLE SAUCES,BBQ SAUCE,Ultra-processed foods,false,
Kellogg S Frosties,BREAKFAST CEREALS,FILLED CEREAL/POPS,Ultra-processed foods,false,new subclass: FILLED CEREAL/POPS
Kent Boringer White Chocolate Topping Sauce,TABLE SAUCES,DESSERT TOPPING SAUCE,Ultra-processed foods,false,new subclass: DESSERT TOPPING SAUCE
Kenylon Beans In Tomato sauce,"PULSES - PEAS, LENTILS, BEANS",CANNED BEANS (READY),Processed foods,false,new subclass: CANNED BEANS (READY)
Kenylon Chick Peas,"PULSES - PEAS, LENTILS, BEANS",LENTILS,Unprocessed/Minimally processed foods,false,chickpeas (no chickpea subclass; closest = LENTILS)
Kings Daily Brand Grade 1 Rose Coco Bean,"PULSES - PEAS, LENTILS, BEANS",ROSECOCO BEANS,Unprocessed/Minimally processed foods,false,new subclass: ROSECOCO BEANS
Kings Daily Brand Njahi Beans,"PULSES - PEAS, LENTILS, BEANS",BLACK BEANS (NJAHI),Unprocessed/Minimally processed foods,false,
Kings Daily Brand Nyayo Beans,"PULSES - PEAS, LENTILS, BEANS",NYAYO BEANS,Unprocessed/Minimally processed foods,false,new subclass: NYAYO BEANS
Knorr Aromat Naturally Tasty Seasoning,HERBS AND SPICES,SPICES - ALL PURPOSE SEASONING,Unprocessed/Minimally processed foods,false,new subclass: SPICES - ALL PURPOSE SEASONING
Kol Hot Sweet Sauce,TABLE SAUCES,CHILLI/HOT SAUCE,Ultra-processed foods,false,
KPL Super Fine Gram Flour,"PULSES - PEAS, LENTILS, BEANS",GRAM FLOUR (BESAN),Unprocessed/Minimally processed foods,false,new subclass: GRAM FLOUR (BESAN)
Laoganma Chicken Chilli Oil With Tofu Pickle,COOKING SAUCES,CHILLI OIL,Ultra-processed foods,false,new subclass: CHILLI OIL
Lea Perrins Worcestershire Sauce,TABLE SAUCES,BROWN/WORCESTERSHIRE SAUCE,Ultra-processed foods,false,new subclass: BROWN/WORCESTERSHIRE SAUCE
Live Life Well Organic Porridge Oats,BREAKFAST CEREALS,OATMEAL/PORRIDGE,Ultra-processed foods,false,new subclass: OATMEAL/PORRIDGE
Lizi Organic Nuts Seeds Granola,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Lizi Original Granola Nuts And Seed,BREAKFAST CEREALS,GRANOLA,Ultra-processed foods,false,new subclass: GRANOLA
Lotus Biscoff Spread Cookie Butter,JAM/OTHER SPREADS,COOKIE BUTTER SPREAD,Ultra-processed foods,false,new subclass: COOKIE BUTTER SPREAD
LOTUS BISCOFF SPREAD CRUNCHY,JAM/OTHER SPREADS,COOKIE BUTTER SPREAD,Ultra-processed foods,false,new subclass: COOKIE BUTTER SPREAD
Luna Cream,COOKING SAUCES,COOKING CREAM,Ultra-processed foods,false,web: Luna Cream = sterilised UHT cow's milk cream (NFCL Saudi)
Lunn Thai Seasoning,HERBS AND SPICES,SPICES - SEASONING BLEND,Unprocessed/Minimally processed foods,false,
