description,class_name,subclass_name,nova
POPCO PURE VEGETABLE OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
POPCORN FRESH & CRUNCHY,SWEET AND SAVOURY SNACKS,POPCORN,Ultra-processed foods
POPCORNS IMPORTED BUTTERFLY,POPCORN KERNELS,POPCORN KERNELS,Unprocessed/Minimally processed foods
PORK BRAWN F/CHOICE,PROCESSED MEAT,PORK BRAWN,Ultra-processed foods
PORK CHIPOLATAS F/CHOICE,PROCESSED MEAT,PORK SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
PORK SAUSAGE CLASSIC SAFARI F/CHOICE,PROCESSED MEAT,PORK SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
PORK SAUSAGE VALUE F/CHOICE,PROCESSED MEAT,PORK SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
POSTMAN COOKING OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
POWER PLAY ENERGY DRINK,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
POWER-ADE MT BERRY BLAST,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
PRB SUPERIOR DARK SOY SAUCE,COOKING SAUCES,SOY SAUCE,Ultra-processed foods
PRB SUPERIOR LIGHT SOY SAUCE,COOKING SAUCES,SOY SAUCE,Ultra-processed foods
PREDATOR ENERGY DRINK,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
PRESTIGE ORIG SPREAD,MARGARINE,MARGARINE,Ultra-processed foods
PRESTIGE VANILLA SPREAD,MARGARINE,MARGARINE,Ultra-processed foods
PROYA CHUNKS,SOYA CHUNKS/MINCE,SOYA CHUNKS,Ultra-processed foods
PURE HEALTH HONEY,HONEY,HONEY,Processed Culinary Ingredients
PURE HEALTH TOTO AFYA,BABY FOODS - PORRIDGE FLOUR,BABY/INFANT PORRIDGE FLOUR,Unprocessed/Minimally processed foods
QUEEN CAKE,CUPCAKES/MUFFINS/QUEENCAKES,QUEENCAKES,Ultra-processed foods
QUEEN CAKE 1PC,CUPCAKES/MUFFINS/QUEENCAKES,CUPCAKES,Ultra-processed foods
QUEEN CAKE MILL BAKER,CUPCAKES/MUFFINS/QUEENCAKES,QUEENCAKES,Ultra-processed foods
QUEEN CAKE MILL BAKERS,CUPCAKES/MUFFINS/QUEENCAKES,QUEENCAKES,Ultra-processed foods
QUENCHER FITZO,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER LEMON TREAT,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER LIFE WATER,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
QUENCHER LIFE WATER NON RTN,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
QUENCHER LIFE WATER SIX,WATER,MINERAL WATER,Unprocessed/Minimally processed foods
QUENCHER ORANGE,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER ORANGE CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER PINEAPPLE,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER PINEAPPLE CORDIAL,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER RTD FIZTO N/CAP,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER RTD FIZTO S/CAP,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER RTD ORANGE JNR S/CAP,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER RTD ORANGE N/CAP,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER RTD P/PPLE N/CAP,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER RTD TANGERINE N/CAP,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUENCHER TANGERINE,DILUTING JUICE,CORDIALS,Ultra-processed foods
QUICK HEALTH HONEY,HONEY,HONEY,Processed Culinary Ingredients
QUICK HEALTH HONEY ROUND,HONEY,HONEY,Processed Culinary Ingredients
QUICK HEALTH HONEY SQUEEZE,HONEY,HONEY,Processed Culinary Ingredients
RAHA COCOA DRINK,COCOA,COCOA - UNSWEETENED WITHOUT MILK,Ultra-processed foods
RAHA DRINKING CHOCOLATE,COCOA,COCOA - SWEETENED WITHOUT MILK,Ultra-processed foods
RAISIN CHARSCO,DRIED FRUITS,RAISINS,Unprocessed/Minimally processed foods
RANEE CLASSIC BASMATI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
RANEE EVERYDAY LONG GRAIN RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
RANEE PREMIUM SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
RANEE STANDARD SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
RCKL GALAXY CRISPY CHOCOLATE BAR,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
RCKL SNICKERS STD SINGLE BAR,CHOCOLATE,CHOCOLATE BAR,Ultra-processed foods
RED BULL DRINK,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
RED VELVET CAKE (SLICE),CAKES,CAKES,Ultra-processed foods
RIBENA,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
RIBENA RTD B/CURRANT,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
RIBENA RTD ORIGINAL,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
RIBENA RTD STRAWBERRY,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
RICE LONG GRAIN,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
RICH CAKES MILL BAKERS,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
RICH CHOCOLATE,MARBLE CAKES,MARBLE CAKES,Ultra-processed foods
RICO DESICCATED COCONUT POWDER,COOKING SAUCES,COCONUT POWDER,Ultra-processed foods
RICO TOMATO PASTE,TOMATO PASTE,TOMATO PASTE,Processed foods
RINA VEGE OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
RINSUN COOKING OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
ROASTED CASHEWNUT ENP,SALTED/SUGARED NUTS,SALTED CASHEW NUTS,Processed foods
ROASTED PEANUT W/OUT SKIN DEEPA,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
ROASTED UNPEELED PEANUT ENP,SALTED/SUGARED NUTS,SALTED PEANUTS,Processed foods
ROCK BAN,PASTRIES,PASTRIES - ROCK BUN,Ultra-processed foods
ROSEMARY LEAVES DEEPA,HERBS AND SPICES,HERBS - ROSEMARY,Unprocessed/Minimally processed foods
ROXY BLACK,FOOD COLOUR ADDITIVES,FOOD COLOUR ADDITIVES,Ultra-processed foods
ROYAL MACARONI RIGATONI PIPED,PASTAS,OTHER PASTA SHAPES,Unprocessed/Minimally processed foods
ROYAL UMB TUNA SHREDDED IN VEG TIN,PROCESSED FISH,CANNED TUNA,Processed foods
ROYALE GARDEN MAYONNAISE,TABLE SAUCES,MAYONNAISE,Ultra-processed foods
ROYCO BEEF CUBES 4GX40X24,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR BEEF CUBES,Ultra-processed foods
ROYCO BEEF ORIG,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR BEEF MIXES,Ultra-processed foods
ROYCO CUBES 4GX40 CHICKEN,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR CHICKEN CUBES,Ultra-processed foods
ROYCO M/MIX TOMATO GINGER & GARLIC,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR TOMATO GINGER & GARLIC MIXES,Ultra-processed foods
ROYCO MCHUZI MIX BEEF SAT,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR BEEF MIXES,Ultra-processed foods
ROYCO MCHUZI MIX CHICKEN SAT,SOUP FLAVOUR CUBES & MIXES,SOUP FLAVOUR CHICKEN MIXES,Ultra-processed foods
ROYS CHOCOLATE WITH S/BERRY CREAM,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
ROYS CHOCOLATE WITH VANILLA CREAM,"COOKIES, BISCUITS AND WAFERS",WAFERS,Ultra-processed foods
SAFARI BEEF SAUSAGE F/CHOICE,PROCESSED MEAT,BEEF SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
SAFARI PUFF CHEESE T/HEAT,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
SAFARI PUFF CHILLI LEMON T/HEAT,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
SAFARILAND MILK POWDER TIN,MILK POWDER,WHOLE MILK POWDER,Unprocessed/Minimally processed foods
SALAD SEASONING T/HEAT,HERBS AND SPICES,SPICES - SALAD SEASONING,Unprocessed/Minimally processed foods
SALIT VEGETABLE OIL,COOKING OIL,VEGETABLE OIL,Processed Culinary Ingredients
SANREMO/ROYAL FUSELLI MACARO TWIST,PASTAS,OTHER PASTA SHAPES,Unprocessed/Minimally processed foods
SANREMO/ROYAL PENNE RIGATE MACAR PIPED,PASTAS,OTHER PASTA SHAPES,Unprocessed/Minimally processed foods
SANTA LUCIA MACORONI FARFALLE,PASTAS,OTHER PASTA SHAPES,Unprocessed/Minimally processed foods
SANTA LUCIA MACORONI PENNE RIGATE,PASTAS,OTHER PASTA SHAPES,Unprocessed/Minimally processed foods
SANTA LUCIA MACORONI SPIRALI,PASTAS,PASTA - MACARONI,Unprocessed/Minimally processed foods
SANTA MARIA GRANDI,PASTAS,PASTA - GRANDI,Unprocessed/Minimally processed foods
SANTA MARIA GRANDI MIXED VEG,PASTAS,PASTA - GRANDI,Unprocessed/Minimally processed foods
SANTA MARIA TOMATO PASTE,TOMATO PASTE,TOMATO PASTE,Processed foods
SASINI CHAI,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
SAVANAH COCOPINE,DILUTING JUICE,SQUASHES,Ultra-processed foods
SAVANAH LEMON,DILUTING JUICE,SQUASHES,Ultra-processed foods
SAVANAH MANGO JUICE,DILUTING JUICE,SQUASHES,Ultra-processed foods
SAVANAH ORANGE,DILUTING JUICE,SQUASHES,Ultra-processed foods
SAVANAH PINEAPPLE,DILUTING JUICE,SQUASHES,Ultra-processed foods
SAVANAH PUNCH,DILUTING JUICE,SQUASHES,Ultra-processed foods
SAVANAH TROPICAL,DILUTING JUICE,SQUASHES,Ultra-processed foods
SCONES 9PC,PASTRIES,PASTRIES - SCONES,Ultra-processed foods
SHIN ON BONE (OSUMBUKO) HUBERS KITE,RED MEAT,BEEF,Unprocessed/Minimally processed foods
SHIRIKI COFFEE CLASSIC TIN,COFFEE,COFFEE - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
SHUJAA MAIZE MEAL,MAIZE/CORN FLOUR,MAIZE FLOUR,Unprocessed/Minimally processed foods
SIM SIM CRUNCH FRESH N CR,CANDY AND CONFECTIONERY,SESAME/SIMSIM BAR,Ultra-processed foods
SIRI PILAU MASALA POWDER,HERBS AND SPICES,SPICES - PILAU MASALA,Unprocessed/Minimally processed foods
SISTER SPAGHETTI,PASTAS,PASTA - SPAGHETTI,Unprocessed/Minimally processed foods
SKYTEA LOOSE LEAVE,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
SNAK IT BIKIS CHEESE,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
SNAK IT BIKIS PIZZA,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
SNAK IT BIKIS SALTY,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
SNAK IT CHEESE,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
SNAK IT TOMATO,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
SODA COKE,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA COKE ZERO,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA COKE ZERO SUGAR,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA FANTA B/CURRANT,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA FANTA BLACKCURRANT,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA FANTA ORANGE,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA FANTA PASSION,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA KREST/SCHWEPPES BITTER LEMON,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA PLANET PASSION P/APPLE,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA SCHWEPPES SODA WATER,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
SODA SCHWEPPES/KREST BITTER LEMON,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
