description,class_name,subclass_name,nova
BARAKA CHAI TANGAWIZI,TEA,TEA - UNSWEETENED WITHOUT MILK,Unprocessed/Minimally processed foods
BARREL WHITE,BREADS,WHITE BREAD,Ultra-processed foods
BASMATI RICE,CEREAL GRAINS,WHITE RICE,Unprocessed/Minimally processed foods
BAY LEAVES DEEPA,HERBS AND SPICES,HERBS - BAY LEAVES,Unprocessed/Minimally processed foods
BAZUU ENERGY DRINK,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
BBQ RINGOZ NORDA,SWEET AND SAVOURY SNACKS,CORN RINGS,Ultra-processed foods
BEEF BRAWN F/CHOICE,PROCESSED MEAT,BEEF BRAWN,Ultra-processed foods
BEEF CATERING (ECONOMY) F/CHOICE,PROCESSED MEAT,BEEF SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
BEEF CHIPOLATAS F/CHOICE,PROCESSED MEAT,BEEF SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
BEEF MINCED HUBERS (LEAL) KITE,RED MEAT,BEEF MINCE,Unprocessed/Minimally processed foods
BEEF SAUSAGE V/ F/CHOICE,PROCESSED MEAT,BEEF SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
BEEF SMOKIES F/CHOICE,PROCESSED MEAT,BEEF SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
BEEF STEAK/TOP SIDE KITE,RED MEAT,BEEF,Unprocessed/Minimally processed foods
BEEF VIENNAS E/LONG F/CHOICE,PROCESSED MEAT,BEEF SAUSAGES/SMOKIES/VIENNA,Ultra-processed foods
BIO STERILISED COOKING CREAM,COOKING SAUCES,COOKING CREAM,Ultra-processed foods
BIO WHOLE MILK LONGLIFE,WHOLE MILK,LONG LIFE/UHT MILK,Unprocessed/Minimally processed foods
BITEZ BBQ V/ NORDA,SWEET AND SAVOURY SNACKS,CORN PUFFS,Ultra-processed foods
BITEZ TAMU TAMU C/CURLS FUN & FRUITY,SWEET AND SAVOURY SNACKS,CORN CURLS,Ultra-processed foods
BLACK FOREST,CAKES,CAKES,Ultra-processed foods
BLACK PEPPER GROUND CHARSC0,HERBS AND SPICES,SPICES - BLACK PEPPER,Unprocessed/Minimally processed foods
BLACK PEPPER GROUND DEEPA,HERBS AND SPICES,SPICES - BLACK PEPPER,Unprocessed/Minimally processed foods
BLACKFOREST CAKE,CAKES,CAKES,Ultra-processed foods
BLUE BAND,MARGARINE,MARGARINE,Ultra-processed foods
BLUE BAND BAKING MARGARINE,MARGARINE,MARGARINE,Ultra-processed foods
BLUE BAND ORIG,MARGARINE,MARGARINE,Ultra-processed foods
BLUE BAND PEANUT BUTTER SMOOTH,PEANUT BUTTER,PEANUT BUTTER,Ultra-processed foods
BLUE BAND SPREAD FOR BREAD,MARGARINE,MARGARINE,Ultra-processed foods
BONES KITE,RED MEAT,BEEF BONES,Unprocessed/Minimally processed foods
BRANDED SUGAR BROWN,SUGAR,BROWN SUGAR,Processed Culinary Ingredients
BRAVA GUAVA JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
BRAVA LEMON LIME,SODAS AND CARBONATED DRINKS,SODAS,Ultra-processed foods
BRAVA MALT COFEE CAPUCINO,MALT DRINKS,MALT DRINKS,Processed foods
BRAVA MALT PINEAPPLE,MALT DRINKS,MALT DRINKS,Processed foods
BRAVA MANGO JUICE,FRUIT DRINKS/SWEETENED JUICES & BOTTLED TEAS,FRUIT DRINKS/SWEETENED JUICE,Ultra-processed foods
BRAVADO ENERGY DRINK,ENERGY DRINKS,ENERGY DRINKS,Ultra-processed foods
BRAVO G,"COOKIES, BISCUITS AND WAFERS",BISCUITS,Ultra-processed foods
